Nsim,V,type,NSE,R2,PBIAS,KGE,RSR,RMSE,NRMSE,UObjFunc_1
1,V1,C,0.989800360847175,0.994117064207954,-1.75138200082154,0.937930071942051,0.100993262908103,0.0156412888080949,0.10037556131598,0.99236366306316
1,V1,V,0.989356844519007,0.995214477431451,-2.22152126213172,0.926886327741565,0.103165670070003,0.0204922754283348,0.10168119454645,0.993170176822588
1,V1,ALL,0.989807723705152,0.994638231576858,-1.9173563438586,0.933877699188022,0.100956804103777,0.017236157682931,0.100524438930257,0.99277673521276
1,V2,C,-1.78262605867648,0.916419495879643,-48.9772211662272,0.088413950402342,1.66812051683219,0.451897257822505,1.56038386345858,-1.67964502857402
1,V2,V,-265.83217091,0.852726740461251,-288.685,-1.88893467959424,16.3349983443525,0.77003920666418,13.3374702976239,-112.357776568032
1,V2,ALL,-1.72819391852933,0.916344231736843,-75.1619149052379,-0.0333610807565476,1.65172452864554,0.556986224117225,1.57485754580283,-1.51093785178776
2,V1,C,0.876761033853674,0.931775678044071,18.843624628723,0.803181472221188,0.351054078663567,0.0543693517124293,0.348906938774552,0.784877379585877
2,V1,V,0.905730735994585,0.957038204414109,18.3787891707871,0.807987034173367,0.307033001492373,0.0609873888077372,0.302615030133011,0.796144855374674
2,V1,ALL,0.890750742589737,0.942299668578854,18.6795226995707,0.805869415384059,0.330528754286617,0.0564305276717227,0.32911320707839,0.792290237393825
2,V2,C,-2.4873829315977,0.93768099862921,-54.4867864369367,-0.0431862090314055,1.86745359556742,0.505896996309525,1.7468428850781,-2.25544087900906
2,V2,V,-375.5742692306,0.801558689421582,-342.80975,-2.49401524407719,19.4055216170708,0.914785061859524,15.8445420514573,-145.706893323493
2,V2,ALL,-2.64387216877213,0.944281699009453,-85.9820033863127,-0.222591849081748,1.90889291705222,0.643707252434464,1.82005798328518,-2.17328470427182
3,V1,C,0.83912627007339,0.944205959406466,27.4489284498372,0.723679123085972,0.401090675442112,0.062118748440997,0.398637498451171,0.64991043542449
3,V1,V,0.873520205947359,0.96128848900958,25.3154555734256,0.746075246885871,0.355639978141718,0.0706424179716163,0.350522589359284,0.713225777680253
3,V1,ALL,0.85600226243582,0.951294054334359,26.6957436210207,0.731825335431352,0.379470338187558,0.0647862285564484,0.377845190085131,0.678562181022254
3,V2,C,-3.08922111173818,0.917205460021538,-58.8066405052425,-0.14079092622368,2.02218226471755,0.547813309063863,1.89157830204592,-2.72597343270351
3,V2,V,-458.773524755,0.752918243582163,-378.68875,-2.90069346522056,21.442330208142,1.01080113964123,17.5075893020713,-168.757349541619
3,V2,ALL,-3.36977900004489,0.924106560690363,-93.7492490032225,-0.349771409546284,2.09040163606061,0.704914708212664,1.99311975648157,-2.65715363942015
4,V1,C,0.845436606215677,0.941226713624926,25.1485086873388,0.738379893215834,0.393145512227118,0.0608882446539646,0.390740929962461,0.613892275829707
4,V1,V,0.877492400130306,0.958486744422772,23.141994625512,0.757641952982015,0.35001085678832,0.069524279494785,0.3449744667806,0.635186484045604
4,V1,ALL,0.861250142436037,0.948303232492771,24.4401444203805,0.746188313769912,0.372491419450118,0.0635947314118753,0.370896159787976,0.627592068460078
4,V2,C,-3.08410176801242,0.916523710012178,-58.7532957262861,-0.140779676617851,2.02091607149145,0.547470294730682,1.89039388673654,-2.72238856020862
4,V2,V,-459.613676405,0.805886623746339,-379.04625,-2.90005381135468,21.4619122261974,1.01172424482498,17.5235779528611,-168.976256216189
4,V2,ALL,-3.37185392548342,0.920858063199321,-93.7407832213666,-0.350764088823341,2.09089787543137,0.705082047553204,1.9935929021569,-2.65885565630298
5,V1,C,0.843636672193998,0.937382145087359,25.7409692011373,0.739664830111924,0.395428031133356,0.0612417488026016,0.393009488377456,0.678135310691795
5,V1,V,0.878636281076518,0.959771451711463,24.2445525280207,0.756367067144524,0.348372959518218,0.0691989363650457,0.343360137606416,0.729583639569089
5,V1,ALL,0.860675246527661,0.946577339936212,25.2126857866909,0.745977044536674,0.373262311883131,0.0637263443690201,0.371663750739296,0.701983129095908
5,V2,C,-2.99970126315411,0.921254373912393,-58.1657367097922,-0.127524509218806,1.99992531439404,0.541783855725694,1.87075883139967,-2.65708688715729
5,V2,V,-448.41144845,0.85953803485682,-374.405,-2.85333176526784,21.1993266036919,0.999345839870596,17.3091776898846,-165.971552117097
5,V2,ALL,-3.27253504906498,0.943524812616059,-92.7104156425802,-0.334184313797989,2.06701113907617,0.697027082661525,1.97081779266305,-2.59435686566333
6,V1,C,0.916371238303028,0.966235196624909,-13.2146363466612,0.803808646712526,0.289186378823367,0.0447876179093179,0.287417638201707,0.935285835883121
6,V1,V,0.97410452252573,0.98322829955814,-4.32753073883362,0.915013128514455,0.160920717977113,0.0319644284060266,0.158605191243195,0.975403022732715
6,V1,ALL,0.941282204809079,0.970156658648745,-10.0772010457898,0.85064670320016,0.242317550315532,0.0413704013677649,0.241279783018724,0.951060922321842
6,V2,C,-0.882698587482061,0.898807135993887,-40.9040713716353,0.29876274103004,1.3721146407943,0.371708660936896,1.28349572030716,-0.888478875520657
