Nsim,V,type,NSE,R2,PBIAS,KGE,RSR,RMSE,NRMSE,UObjFunc_1
6,V1,ALL,0.786367481133884,0.932995591600876,-19.7539424763412,0.63030987119861,0.462203979716873,0.0613020778354487,0.4602074089155,0.858017346118874
7,V1,C,0.815887951030703,0.924067576543283,-9.64868085118817,0.70137147779254,0.429082799666099,0.0569092183046454,0.427229301585642,0.837999701115047
7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,V1,ALL,0.815887951030703,0.924067576543283,-9.64868085118817,0.70137147779254,0.429082799666099,0.0569092183046454,0.427229301585642,0.837999701115047
8,V1,C,0.74733073711195,0.912823260785045,-14.3760004411477,0.624784022032751,0.502662175708547,0.0666680452191192,0.500490838664697,0.769020952681695
8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,V1,ALL,0.74733073711195,0.912823260785045,-14.3760004411477,0.624784022032751,0.502662175708547,0.0666680452191192,0.500490838664697,0.769020952681695
9,V1,C,0.822324531098534,0.922278436303286,-14.5135459016443,0.70667042267932,0.421515680492987,0.0559055918780093,0.419694869905184,0.861252267725264
9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,V1,ALL,0.822324531098534,0.922278436303286,-14.5135459016443,0.70667042267932,0.421515680492987,0.0559055918780093,0.419694869905184,0.861252267725264
10,V1,C,0.704961639005879,0.915259484796742,-28.8311089569319,0.548029811175046,0.543174337569551,0.0720411700918363,0.540828001168227,0.789425842422875
10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,V1,ALL,0.704961639005879,0.915259484796742,-28.8311089569319,0.548029811175046,0.543174337569551,0.0720411700918363,0.540828001168227,0.789425842422875
11,V1,C,0.76820742636121,0.915125642884553,-15.4713614220089,0.644615451222721,0.481448412230002,0.0638544654209938,0.479368711741887,0.829995111195415
11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,V1,ALL,0.76820742636121,0.915125642884553,-15.4713614220089,0.644615451222721,0.481448412230002,0.0638544654209938,0.479368711741887,0.829995111195415
12,V1,C,0.947228911624074,0.964680180144176,-14.0468900755435,0.839272154295794,0.229719586400302,0.0304676908547274,0.228727272532751,0.833928291884772
12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,V1,ALL,0.947228911624074,0.964680180144176,-14.0468900755435,0.839272154295794,0.229719586400302,0.0304676908547274,0.228727272532751,0.833928291884772
13,V1,C,0.746622468863104,0.904952525971465,-13.8576989927175,0.637309813357464,0.503366199835563,0.066761419884259,0.501191821636558,0.790622460666265
13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,V1,ALL,0.746622468863104,0.904952525971465,-13.8576989927175,0.637309813357464,0.503366199835563,0.066761419884259,0.501191821636558,0.790622460666265
14,V1,C,0.795972500261788,0.917547752225877,-15.1997439801194,0.676803079660924,0.451694033321464,0.0599081444634937,0.449742862068814,0.847458197754143
14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,V1,ALL,0.795972500261788,0.917547752225877,-15.1997439801194,0.676803079660924,0.451694033321464,0.0599081444634937,0.449742862068814,0.847458197754143
15,V1,C,0.852821987551402,0.930240131142448,-9.20488325802707,0.74820464991479,0.38363786628616,0.0508818603295144,0.381980675531123,0.877108200729823
15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,V1,ALL,0.852821987551402,0.930240131142448,-9.20488325802707,0.74820464991479,0.38363786628616,0.0508818603295144,0.381980675531123,0.877108200729823
16,V1,C,0.655108350888042,0.887570018787433,-23.9184060680963,0.547323440965942,0.587274764579543,0.0778902062918255,0.584737928682844,0.706854015791035
16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,V1,ALL,0.655108350888042,0.887570018787433,-23.9184060680963,0.547323440965942,0.587274764579543,0.0778902062918255,0.584737928682844,0.706854015791035
17,V1,C,0.816105283155752,0.937191832400089,-19.7060115447177,0.661211287073324,0.428829472919303,0.0568756195979459,0.426977069127966,0.870597039985262
17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,V1,ALL,0.816105283155752,0.937191832400089,-19.7060115447177,0.661211287073324,0.428829472919303,0.0568756195979459,0.426977069127966,0.870597039985262
18,V1,C,0.899530554797803,0.95101116422554,-16.1825314359336,0.773611199216519,0.316969154969687,0.0420395943394747,0.315599951355005,0.901700509261967
18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,V1,ALL,0.899530554797803,0.95101116422554,-16.1825314359336,0.773611199216519,0.316969154969687,0.0420395943394747,0.315599951355005,0.901700509261967
19,V1,C,0.896146233328778,0.964587591942001,-8.24591042462928,0.750955182343453,0.322263505025347,0.0427417835750564,0.32087143154109,0.922470244417923
19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,V1,ALL,0.896146233328778,0.964587591942001,-8.24591042462928,0.750955182343453,0.322263505025347,0.0427417835750564,0.32087143154109,0.922470244417923
20,V1,C,0.769752123517447,0.914724306444452,-11.7338532462728,0.652609547838557,0.479841511837558,0.0636413423470821,0.477768752636288,0.799842622704196
20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,V1,ALL,0.769752123517447,0.914724306444452,-11.7338532462728,0.652609547838557,0.479841511837558,0.0636413423470821,0.477768752636288,0.799842622704196
21,V1,C,0.947228911624074,0.964680180144176,-14.0468900755435,0.839272154295794,0.229719586400302,0.0304676908547274,0.228727272532751,0.833928291884772
21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,V1,ALL,0.947228911624074,0.964680180144176,-14.0468900755435,0.839272154295794,0.229719586400302,0.0304676908547274,0.228727272532751,0.833928291884772
