Nsim,V,type,NSE,R2,PBIAS,KGE,RSR,RMSE,NRMSE,UObjFunc_1
1,V1,C,0.777584915387318,0.913233126340453,-11.5794126247952,0.665441078632245,0.471609037882738,0.062549469967563,0.469571840290287,0.812134609921649
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,V1,ALL,0.777584915387318,0.913233126340453,-11.5794126247952,0.665441078632245,0.471609037882738,0.062549469967563,0.469571840290287,0.812134609921649
2,V1,C,0.814465977492338,0.915656392499494,-9.94789870741633,0.714864937177234,0.43073660455975,0.0571285623188993,0.428875962580264,0.846300156629988
2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,V1,ALL,0.814465977492338,0.915656392499494,-9.94789870741633,0.714864937177234,0.43073660455975,0.0571285623188993,0.428875962580264,0.846300156629988
3,V1,C,0.826260957811019,0.913541798221705,-5.37413137990604,0.742688505534113,0.416820155689455,0.0552828247889835,0.415019628240982,0.818893228546336
3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,V1,ALL,0.826260957811019,0.913541798221705,-5.37413137990604,0.742688505534113,0.416820155689455,0.0552828247889835,0.415019628240982,0.818893228546336
4,V1,C,0.889608989388155,0.950174129137558,-5.54933016238926,0.77520720479955,0.332251426801819,0.0440664808624547,0.330816208745338,0.897689672431913
4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,V1,ALL,0.889608989388155,0.950174129137558,-5.54933016238926,0.77520720479955,0.332251426801819,0.0440664808624547,0.330816208745338,0.897689672431913
5,V1,C,0.658931267731665,0.888487956543393,-23.8009465722435,0.550006958304105,0.584010900812934,0.0774573202946354,0.581488163745718,0.713000436243533
5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,V1,ALL,0.658931267731665,0.888487956543393,-23.8009465722435,0.550006958304105,0.584010900812934,0.0774573202946354,0.581488163745718,0.713000436243533
6,V1,C,0.786367481133884,0.932995591600876,-19.7539424763412,0.63030987119861,0.462203979716873,0.0613020778354487,0.4602074089155,0.858017346118874
6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
