Run   obj.function   P01           P02           P03           P04           P05           P06           P07           P08           P09           P10           P11           P12           P13           P14           P15           
1     -8.532467E-01  3.100000E+01  1.555500E-01  9.000000E-02  1.000000E+03  5.000000E-02  9.500000E-01  9.100000E+01  1.200000E-01  4.593000E+01  1.000000E+00  5.000000E-01  1.000000E+00  4.500000E+00  4.500000E+00  5.000000E-01  
2     -7.828766E-01  1.358248E+02  1.947896E-01  8.152229E-02  2.772453E+03  2.654605E-02  9.356151E-01  9.369098E+01  1.124748E-01  6.881486E+01  1.643003E+00  3.617511E+00  7.958175E-01  2.059196E+00  7.127818E+00  5.425652E-01  
3     -8.184982E-01  2.327921E+02  1.085293E-01  5.467090E-02  2.094846E+03  7.207876E-02  5.465270E-01  9.391160E+01  1.200000E-01  4.593000E+01  1.000000E+00  2.487961E+00  8.070496E-01  4.500000E+00  7.352564E+00  5.779403E-01  
4     -8.621914E-01  6.459836E+01  1.555500E-01  8.273300E-02  1.000000E+03  5.000000E-02  9.500000E-01  9.100000E+01  1.200000E-01  4.593000E+01  -4.175947E+00  3.001614E+00  1.000000E+00  4.500000E+00  4.500000E+00  6.528960E-01  
5     -9.096860E-01  6.459836E+01  1.676455E-01  8.273300E-02  1.000000E+03  5.000000E-02  9.455515E-01  9.100000E+01  1.200000E-01  1.891597E+01  -4.175947E+00  3.001614E+00  5.043407E-01  4.500000E+00  4.500000E+00  6.528960E-01  
6     -9.096860E-01  6.459836E+01  1.676455E-01  8.273300E-02  1.000000E+03  5.000000E-02  9.455515E-01  9.100000E+01  1.200000E-01  1.891597E+01  -4.175947E+00  2.682144E+00  5.043407E-01  4.500000E+00  4.500000E+00  6.528960E-01  
7     -9.183889E-01  6.459836E+01  1.376847E-01  8.273300E-02  1.000000E+03  1.764301E-01  9.455515E-01  9.100000E+01  1.200000E-01  1.891597E+01  -1.690626E+00  2.682144E+00  5.043407E-01  4.500000E+00  4.500000E+00  6.528960E-01  
8     -9.464617E-01  6.459836E+01  1.376847E-01  1.496371E-01  2.242971E+03  1.764301E-01  9.455515E-01  8.874130E+01  1.200000E-01  2.373735E+01  -1.690626E+00  2.221871E+00  5.043407E-01  3.005680E+00  6.004638E+00  6.528960E-01  
9     -9.484067E-01  6.459836E+01  1.976534E-01  1.496371E-01  2.242971E+03  1.764301E-01  9.455515E-01  8.874130E+01  1.200000E-01  2.373735E+01  -1.690626E+00  2.221871E+00  5.043407E-01  3.005680E+00  6.004638E+00  6.528960E-01  
10    -9.484067E-01  6.459836E+01  1.976534E-01  1.496371E-01  2.242971E+03  1.764301E-01  9.455515E-01  8.874130E+01  1.200000E-01  2.373735E+01  -1.690626E+00  2.877424E+00  5.043407E-01  3.005680E+00  6.004638E+00  6.528960E-01  
11    -9.484067E-01  6.459836E+01  1.976534E-01  1.496371E-01  2.242971E+03  1.764301E-01  9.455515E-01  8.874130E+01  1.200000E-01  2.373735E+01  -1.690626E+00  2.877424E+00  5.043407E-01  3.005680E+00  6.004638E+00  6.528960E-01  
