True Cost 	Penalty 	Adjusted Cost
1.560384E+00	0.000000E+00	1.560384E+00
1.746843E+00	0.000000E+00	1.746843E+00
1.891578E+00	0.000000E+00	1.891578E+00
1.890394E+00	0.000000E+00	1.890394E+00
1.870759E+00	0.000000E+00	1.870759E+00
1.283496E+00	0.000000E+00	1.283496E+00
1.054197E+00	0.000000E+00	1.054197E+00
1.365428E+00	0.000000E+00	1.365428E+00
1.365428E+00	0.000000E+00	1.365428E+00
1.509380E+00	0.000000E+00	1.509380E+00
1.189226E+00	0.000000E+00	1.189226E+00
1.189226E+00	0.000000E+00	1.189226E+00
1.382845E+00	0.000000E+00	1.382845E+00
1.541341E+00	0.000000E+00	1.541341E+00
1.540817E+00	0.000000E+00	1.540817E+00
1.539986E+00	0.000000E+00	1.539986E+00
1.537159E+00	0.000000E+00	1.537159E+00
1.570684E+00	0.000000E+00	1.570684E+00
1.538207E+00	0.000000E+00	1.538207E+00
1.475546E+00	0.000000E+00	1.475546E+00
1.538892E+00	0.000000E+00	1.538892E+00
